epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,1393.81,0.34249,0.34546,0.18669,0.00161,0.14057,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000488875,0.000488875,0.000488875
46,1424.18,0.34465,0.34382,0.19076,0.00163,0.14016,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000485781,0.000485781,0.000485781
47,1454.46,0.34334,0.33887,0.18784,0.00161,0.14185,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000482687,0.000482687,0.000482687
48,1484.71,0.34628,0.33998,0.18648,0.00162,0.13863,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000479594,0.000479594,0.000479594
49,1515.07,0.33787,0.33868,0.18605,0.00158,0.13629,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0004765,0.0004765,0.0004765
50,1545.46,0.33669,0.34428,0.18421,0.00159,0.14102,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000473406,0.000473406,0.000473406
51,1575.78,0.3297,0.33919,0.18586,0.00159,0.14619,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000470312,0.000470312,0.000470312
52,1606.17,0.33761,0.33988,0.18417,0.00161,0.13747,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000467219,0.000467219,0.000467219
53,1636.54,0.34224,0.34245,0.18972,0.00163,0.14205,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000464125,0.000464125,0.000464125
54,1666.81,0.33109,0.33775,0.18064,0.00157,0.12737,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000461031,0.000461031,0.000461031
55,1697.19,0.33048,0.33804,0.1853,0.00154,0.13872,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.000457938,0.000457938,0.000457938
